eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,mortality_db,liz_status_db,hatch_date_ymd,mortality_date_dmy,season,date_egg_laid_.day.m.year..,Julian_lay,days_to_hatch,Julian_hatch_date,Julian_remeasured,days_posthatch,egg_mass,egg_length_mm,egg_width_mm,bd_mass_orig,bd_svl_orig_mm,bd_tail_orig_mm,bd_totl_orig,remeasure_date,remeasure_SVL,remeasure_tail,remeasure_mass,re_measure_notes,bd_liz_id.1,measure_date_juv2,measure_SVL_juv2,measure_tail_juv2,measure_mass_juv2,measure_notes_juv2,person_juv2,notes_juv2,notes_db
EG721_21,LD721_21,CL209_21,E004_F120,delicata,C_23_Topical,23,control,1,ALIVE,22/2/21,,2021/22,1/1/22,1,51,52,154,102,0.102,9.08,4.67,0.128,18,25,,3/6/22,3.4,4.6,0.626,,LD721_21,,NA,NA,NA,,,egg dehydrated quite bad,egg dehydrated quite bad
EG727_21,LD727_21,CL210_21,E001_F120,delicata,C_23_Topical,23,control,1,ALIVE,22/2/27,,2021/22,1/1/22,1,57,58,154,96,0.126,8.05,5.84,0.115,18,24,,,NA,NA,NA,,LD727_21,,NA,NA,NA,,,"** Note that this ID was unclear. Could be labelled 772, but more likely 727. 772 is already hatched. Defnietly from 23C treatment","** Note that this ID was unclear. Could be labelled 772, but more likely 727. 772 is already hatched. Defnietly from 23C treatment"
EG732_21,LD732_21,CL211_21,E018_M,delicata,C_23_Topical,23,control,1,ALIVE,22/2/20,,2021/22,1/1/22,1,50,51,154,103,0.151,8.27,6.03,0.134,17,24,,3/6/22,3.1,4.35,0.578,,LD732_21,10/8/22,3.9,5.4,0.721,,DCL,,
EG737_21,LD737_21,CL212_21,E025_M,delicata,C_23_Topical,23,control,1,ALIVE,22/2/21,,2021/22,1/1/22,1,51,52,154,102,0.162,7.84,6.64,0.137,19,26,,3/6/22,3.6,4.9,0.74,,LD737_21,10/8/22,4.1,5.7,1.027,,DCL,,
EG743_21,LD743_21,CL213_21,E026_M,delicata,C_23_Topical,23,control,1,ALIVE,,,2021/22,1/1/22,1,NA,NA,154,NA,0.187,8.35,6.8,0.139,19,27,,3/6/22,2.6,3.8,0.304,,LD743_21,10/8/22,2.7,3.6,0.368,Lost tail tip after measurment,DCL,,
EG746_21,LD746_21,CL214_21,E007_F120,delicata,C_23_Topical,23,control,1,ALIVE,22/2/23,,2021/22,1/1/22,1,53,54,154,100,0.119,8.68,5.49,0.129,17,25,,3/6/22,3.1,4.5,0.496,,LD746_21,10/8/22,3.4,5.4,0.742,,PR,,
EG750_21,LD750_21,CL215_21,E017_M,delicata,C_23_Topical,23,control,0,DEAD,22/2/22,13/8/22,2021/22,1/1/22,1,52,53,154,101,0.151,8.64,5.99,0.145,18,26,,3/6/22,2.9,4.2,0.47,,LD750_21,10/8/22,3.2,5.4,0.6,,DCL,,animal died 13/08/2022
EG754_21,LD754_21,CL216_21,E014_M,delicata,C_23_Topical,23,control,1,ALIVE,22/2/20,,2021/22,1/1/22,1,50,51,154,103,0.161,8.61,6.49,0.131,19,26,,3/6/22,3.1,4.2,0.547,,LD754_21,10/8/22,3.3,6.1,0.72,,DCL,,
EG760_21,LD760_21,CL217_21,E014_M,delicata,C_23_Topical,23,control,1,ALIVE,22/2/22,,2021/22,1/1/22,1,52,53,154,101,0.114,8.09,5.35,0.138,18,24,,3/6/22,2.75,4.2,0.478,,LD760_21,10/8/22,3.1,4.6,0.622,,PR,,
EG726_21,LD726_21,CL210_21,E001_F120,delicata,C_28_Topical,28,control,0,DEAD,22/2/03,3/2/22,2021/22,1/1/22,1,33,34,154,120,0.125,7.8,5.56,0.102,17,22,,,NA,NA,NA,,LD726_21,,NA,NA,NA,,,died after hatching; 3/2/22,died after hatching; 3/2/22
