eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,hatch_date_dmy,season,date_egg_laid_dmy,Julian_lay,days_to_hatch,Julian_hatch_date,egg_mass,egg_length_mm,egg_width_mm,hatch_mass_orig,hatch_svl_orig_mm,hatch_tail_orig_mm,juv1_measure_date_dmy,juv1_measure_SVL_mm,juv1_measure_tail_mm,juv1_measure_mass_g,Liz_ID,juv2_measure_date_dmy,juv2_measure_SVL_mm,juv2_measure_tail_mm,juv2_measure_mass_g,person_juv2,Lizard_ID,liz_status_db,mortality_date_dmy,bd_totl_orig,notes_juv1,notes_juv2,notes_db
EG734_21,LD734_21,CL211_21,E018_M,delicata,C_28_Topical,28,control,31/1/2022,2021/22,1/1/2022,1,30,31,0.147,8.54,5.94,0.112,18,22,3/6/2022,30,42,0.455,LD734_21,10/8/2022,35,48,0.66,DCL,LD734_21,ALIVE,NA,,,,
EG736_21,LD736_21,CL212_21,E025_M,delicata,CORT_28_5pg_Topical,28,low,1/2/2022,2021/22,1/1/2022,1,31,32,0.164,7.61,6.67,0.138,19,26,3/6/2022,29,48,0.485,LD736_21,10/8/2022,33,48,0.639,PR,LD736_21,ALIVE,NA,,,,
EG735_21,LD735_21,CL212_21,E025_M,delicata,C_28_Topical,28,control,2/2/2022,2021/22,1/1/2022,1,32,33,0.177,8.42,6.61,0.152,19,25,3/6/2022,35.3,52,0.674,LD735_21,10/8/2022,39,62,1.009,DCL,LD735_21,ALIVE,NA,,,,
EG751_21,LD751_21,CL215_21,E017_M,delicata,C_28_Topical,28,control,2/2/2022,2021/22,1/1/2022,1,32,33,0.154,8.4,6.44,0.131,19,25,3/6/2022,30.5,40,0.52,LD751_21,10/8/2022,33,44,0.72,PR,LD751_21,ALIVE,NA,,,,
EG733_21,LD733_21,CL211_21,E018_M,delicata,CORT_28_10pg_Topical,28,high,2/2/2022,2021/22,1/1/2022,1,32,33,0.156,8.66,6.21,0.129,18,25,3/6/2022,29.5,36,0.435,LD733_21,10/8/2022,33,42,0.532,DCL,LD733_21,ALIVE,NA,,,,
EG755_21,LD755_21,CL216_21,E014_M,delicata,CORT_28_5pg_Topical,28,low,2/2/2022,2021/22,1/1/2022,1,32,33,0.171,9.07,6.25,0.129,19,21,3/6/2022,32.5,48,0.603,LD755_21,10/8/2022,38,63,0.899,DCL,LD755_21,ALIVE,NA,,,,
EG759_21,LD759_21,CL217_21,E014_M,delicata,C_28_Topical,28,control,3/2/2022,2021/22,1/1/2022,1,33,34,0.113,7.7,5.34,0.121,17,26,NA,NA,NA,NA,LD759_21,NA,NA,NA,NA,,LD759_21,ALIVE,NA,,,,
EG728_21,LD728_21,CL210_21,E001_F120,delicata,CORT_28_5pg_Topical,28,low,3/2/2022,2021/22,1/1/2022,1,33,34,0.131,8.46,5.67,0.114,17,23,3/6/2022,35,41,0.535,LD728_21,10/8/2022,37,31,0.631,DCL,LD728_21,ALIVE,NA,,tail fell off,,
EG742_21,LD742_21,CL213_21,E026_M,delicata,CORT_28_5pg_Topical,28,low,3/2/2022,2021/22,1/1/2022,1,33,34,0.184,8.6,6.57,0.136,17,28,3/6/2022,28,42,0.451,LD742_21,10/8/2022,30,44,0.51,PR,LD742_21,ALIVE,NA,,,,
EG770_21,LD770_21,CL219_21,E004_F120,delicata,C_28_Topical,28,control,3/2/2022,2021/22,5/1/2022,5,29,34,0.152,8.15,6.04,0.102,18,27,3/6/2022,29,46,0.569,LD770_21,10/8/2022,37,61,0.825,DCL,LD770_21,ALIVE,NA,,,,
EG771_21,LD771_21,CL219_21,E004_F120,delicata,CORT_28_10pg_Topical,28,high,3/2/2022,2021/22,5/1/2022,5,29,34,0.19,8.45,6.67,0.121,18,26,3/6/2022,32,45,0.524,LD771_21,10/8/2022,35,56,0.756,DCL,LD771_21,ALIVE,NA,,,,
EG774_21,LD774_21,CL220_21,E019_M,delicata,CORT_28_10pg_Topical,28,high,3/2/2022,2021/22,5/1/2022,5,29,34,0.158,8.27,6.17,0.112,17,22,3/6/2022,27.7,38,0.406,LD774_21,10/8/2022,29,40,0.488,DCL,LD774_21,ALIVE,NA,,,,
EG756_21,LD756_21,CL216_21,E014_M,delicata,C_28_Topical,28,control,4/2/2022,2021/22,1/1/2022,1,34,35,0.18,9.3,6.5,0.115,16,26,3/6/2022,30,44,0.47,LD756_21,10/8/2022,33,55,0.739,DCL,LD756_21,ALIVE,NA,,,,
EG749_21,LD749_21,CL215_21,E017_M,delicata,CORT_28_10pg_Topical,28,high,4/2/2022,2021/22,1/1/2022,1,34,35,0.152,8.46,6.22,0.111,18,24,3/6/2022,32,44.5,0.508,LD749_21,NA,NA,NA,NA,,LD749_21,ALIVE,NA,,,,
EG758_21,LD758_21,CL217_21,E014_M,delicata,CORT_28_5pg_Topical,28,low,4/2/2022,2021/22,1/1/2022,1,34,35,0.11,7.78,5.23,0.101,17,24,3/6/2022,29,43,0.452,LD758_21,10/8/2022,32,43,0.709,PR,LD758_21,ALIVE,NA,,,,
EG763_21,LD763_21,CL218_21,E025_M,delicata,CORT_28_10pg_Topical,28,high,4/2/2022,2021/22,5/1/2022,5,30,35,0.151,8.91,5.83,0.12,16,27,3/6/2022,33,52,0.621,LD763_21,NA,NA,NA,NA,,LD763_21,ALIVE,NA,,,,
EG772_21,LD772_21,CL219_21,E004_F120,delicata,CORT_28_5pg_Topical,28,low,4/2/2022,2021/22,5/1/2022,5,30,35,0.174,8.85,6.07,0.098,19,24,3/6/2022,34,42.5,0.649,LD772_21,10/8/2022,40,51,1.013,DCL,LD772_21,ALIVE,NA,,,,
