"","Lizard_ID","eggID","bd_liz_id","clutch","egg_encl_ID","species","trt","temp","hormone","hatch_date_dmy","season","date_egg_laid_dmy","Julian_lay","days_to_hatch","Julian_hatch_date","egg_mass","egg_length_mm","egg_width_mm","hatch_mass_g","hatch_svl_mm","hatch_tail_orig_mm","juv1_measure_date_dmy","juv1_SVL_mm","juv1_measure_tail_mm","juv1_mass_g","Liz_ID","juv2_measure_date_dmy","juv2_SVL_mm","juv2_measure_tail_mm","juv2_mass_g","person_juv2","liz_status_db","mortality_date_dmy","tail_loss_hatching","tail_loss_juv1","tail_loss_juv2","tail_loss_overall","notes_juv1","notes_juv2","notes_db","juv3_date","juv3_measure_time","Plate_CORT_juv3","juv3_sample_ID","sex","juv3_data_ssue_Y_N","juv3_SVL_mm","juv3_tail_mm","juv3_mass_g","juv3_temperature","juv3_CORT_Treatment","juv3_HandlingTime_sec","juv3_Testosterone_plate","juv3_Testosterone_Final_ng_ml","juv3_T4_plate","juv3_T4_corrected_ng_mL","juv3_Sample_volume_ul","juv3_CORT_Final_Hormone_ng_mL","notes_juv3","juv3_inject_time_sec","juv3_liver_time_sec","juv3_oroboros","juv3_chamber","juv3_basal_corrected.pmol..sec.ng..","juv3_adp_corrected.pmol..sec.ng..","juv3_oligo_corrected.pmol..sec.ng..","juv3_fccp_corrected.pmol..sec.ng..","juv3_RCR.L.R.","juv3_RCR.L.ETS.","juv3_RCR.R.ETS.","juv3_oroboros_comments","Juvenile1_Age","Juvenile2_Age","Juvenile3_Age","hatch_juv3_SVL_growth","hatch_juv3_MASS_growth","hatch_juv1_SVL_growth","hatch_juv1_mass_growth","juv1_juv3_svl_growth","juv1_juv3_mass_growth","hatch_mass_svl","juv1_mass_svl","juv2_mass_svl","juv3_mass_svl","log_hatch_mass","log_hatch_SVL","log_juv1_mass","log_juv1_SVL","log_juv2_mass","log_juv2_SVL","log_juv3_mass","log_juv3_SVL","ScaledMass_hatch","ScaledMass_juv1","ScaledMass_juv2","ScaledMass_juv3"
"1","LD721_21","EG721_21","LD721_21","CL209_21","E004_F120","delicata","C_23_Topical","23","control","21/02/2022","2021/22","1/01/2022",1,51,52,0.102,9.08,4.67,0.128,18,25,"3/06/2022",34,46,0.626,"LD721_21",NA,NA,NA,NA,"","ALIVE",NA,0,0,0,0,"","egg dehydrated quite bad","egg dehydrated quite bad",2020-05-24,"9:21","3",46,"M","N",43,67,1.627,23,"control",162,"T1",1344.02,"2",0.35,5,375.41,"very large liver, dilute in 600ul",28,242,72809,"B",0.2716,1.8245,0.2355,15.5383,0.8669,0.3073,0.3544,"very large liver, dilute in 600ul",102,170,458,0.054585152838428,0.00327292576419214,0.156862745098039,0.00488235294117647,0.0252808988764045,0.00281179775280899,0.00711111111111111,0.0184117647058824,NA,0.0378372093023256,-2.05572501506252,2.89037175789616,-0.468404907882039,3.52636052461616,NA,NA,0.486737828236901,3.76120011569356,0.117686735572882,0.427951466914747,NA,1.50356996363227
"2","LD722_21","EG722_21","LD722_21","CL209_21","E004_F120","delicata","CORT_23_10pg_Topical","23","high",NA,"2021/22","1/01/2022",1,NA,NA,0.108,8.36,5.11,0.097,16,21,"3/06/2022",28.3,46,0.525,"LD722_21",NA,NA,NA,NA,"","ALIVE",NA,0,0,0,0,"","egg litle dehydrated, but fine","egg litle dehydrated, but fine",2020-05-19,"9:35","6",19,"M","N",44,62,1.539,23,"high",205,"T1",1198.49,"1",0.4,5,539.76,"",19,327,72810,"A",0.1429,0.9682,0.1616,6.457,1.1312,0.258,0.2281,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0060625,0.0185512367491166,NA,0.0349772727272727,-2.33304430047875,2.77258872223978,-0.644357016390513,3.34286180464919,NA,NA,0.431132854856742,3.78418963391826,0.117126472993381,0.573347032091758,NA,1.33148904947264
"3","LD723_21","EG723_21","LD723_21","CL209_21","E004_F120","delicata","CORT_23_5pg_Topical","23","low","21/02/2022","2021/22","1/01/2022",1,51,52,0.118,8.47,5.46,0.139,19,25,"3/06/2022",31.5,45,0.505,"LD723_21","10/08/2022",35,46,0.723,"DCL","ALIVE",NA,0,1,1,1,"tail fell off","egg litle dehydrated, but fine","egg litle dehydrated, but fine",2020-05-23,"14:31","3",41,"F","N",43,61,1.752,23,"low",147,"",NA,"2",0.83,5,374.4,"extra 500ul aliquot 41B",22,240,72809,"A",0.2569,1.3167,0.1002,7.5395,0.3901,0.1198,0.3071,"extra 500ul aliquot 41B",102,170,457,0.0525164113785558,0.00352954048140044,0.122549019607843,0.00358823529411765,0.0323943661971831,0.00351267605633803,0.00731578947368421,0.016031746031746,0.0206571428571429,0.0407441860465116,-1.97328134585145,2.94443897916644,-0.683196849706777,3.44998754583159,-0.324346056823372,3.55534806148941,0.5607579925142,3.76120011569356,0.112771048985438,0.419549678424293,0.548412550017937,1.61908701676935
"4","LD726_21","EG726_21","LD726_21","CL210_21","E001_F120","delicata","C_28_Topical","28","control","3/02/2022","2021/22","1/01/2022",1,33,34,0.125,7.8,5.56,0.102,17,22,NA,NA,NA,NA,"LD726_21",NA,NA,NA,NA,"","DEAD","3/02/2022",0,0,0,0,"","died after hatching; 3/2/22","died after hatching; 3/2/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,188,NA,NA,NA,NA,NA,NA,NA,0.006,NA,NA,NA,-2.28278246569787,2.83321334405622,NA,NA,NA,NA,NA,NA,0.107043162647465,NA,NA,NA
"5","LD727_21","EG727_21","LD727_21","CL210_21","E001_F120","delicata","C_23_Topical","23","control","27/02/2022","2021/22","1/01/2022",1,57,58,0.126,8.05,5.84,0.115,18,24,NA,NA,NA,NA,"LD727_21",NA,NA,NA,NA,"","ALIVE",NA,0,0,0,0,"","** Note that this ID was unclear. Could be labelled 772, but more likely 727. 772 is already hatched. Defnietly from 23C treatment","** Note that this ID was unclear. Could be labelled 772, but more likely 727. 772 is already hatched. Defnietly from 23C treatment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,164,NA,NA,NA,NA,NA,NA,NA,0.00638888888888889,NA,NA,NA,-2.16282315061889,2.89037175789616,NA,NA,NA,NA,NA,NA,0.105734176491261,NA,NA,NA
"6","LD728_21","EG728_21","LD728_21","CL210_21","E001_F120","delicata","CORT_28_5pg_Topical","28","low","3/02/2022","2021/22","1/01/2022",1,33,34,0.131,8.46,5.67,0.114,17,23,"3/06/2022",35,41,0.535,"LD728_21","10/08/2022",37,31,0.631,"DCL","ALIVE",NA,0,1,1,1,"tail fell off","","",2020-06-08,"12:14","5",98,"M","N",44,51,1.733,28,"low",117,"T2",839.82,"3",0.67,5,164.9,"",20,187,72809,"B",0.1579,1.4092,0.1511,20.9766,0.957,0.1661,0.1735,"",120,188,491,0.054989816700611,0.00329735234215886,0.15,0.00350833333333333,0.0242587601078167,0.00322911051212938,0.00670588235294118,0.0152857142857143,0.0170540540540541,0.0393863636363636,-2.17155683058764,2.83321334405622,-0.62548853208613,3.55534806148941,-0.460449416440924,3.61091791264422,0.549854010733469,3.78418963391826,0.119636475900108,0.339653883239269,0.414397130749506,1.49933107390259
"7","LD729_21","EG729_21","LD729_21","CL210_21","E001_F120","delicata","CORT_23_5pg_Topical","23","low","24/02/2022","2021/22","1/01/2022",1,54,55,0.126,7.98,5.42,0.114,18,24,"3/06/2022",28.5,41,0.389,"LD729_21","10/08/2022",28,40,0.448,"PR","ALIVE",NA,0,0,0,0,"","","",2020-05-23,"14:36",NA,42,"F","N",42,66,1.526,NA,"",NA,"",NA,NA,NA,NA,NA,"extra 500ul aliquot 42B",18,195,72809,"B",0.2783,1.8884,0.2162,16.3444,0.7768,0.2304,0.2966,"extra 500ul aliquot 42B",99,167,454,0.052863436123348,0.00311013215859031,0.106060606060606,0.00277777777777778,0.0380281690140845,0.00320281690140845,0.00633333333333333,0.0136491228070175,0.016,0.0363333333333333,-2.17155683058764,2.89037175789616,-0.944175935363691,3.3499040872746,-0.802962046567152,3.3322045101752,0.422649932862265,3.73766961828337,0.104814748869598,0.417253852017882,0.606103950685932,1.50869554200146
"8","LD730_21","EG730_21","LD730_21","CL211_21","E018_M","delicata","CORT_23_10pg_Topical","23","high","21/02/2022","2021/22","1/01/2022",1,51,52,0.162,8.29,6.38,0.128,17,25,"3/06/2022",28,38.5,0.447,"LD730_21","10/08/2022",32,45,0.538,"DCL","ALIVE",NA,0,0,0,0,"","","",2020-05-24,"9:16","3",45,"M","N",42,66,1.456,23,"high",126,"T1",1183.42,"2",1.03,5,199.36,"800ul dilute(large sample)",21,195,72809,"A",0.7523,5.5276,0.5929,17.0026,0.7882,0.2571,0.3261,"800ul dilute(large sample)",102,170,458,0.054585152838428,0.00289956331877729,0.107843137254902,0.00312745098039216,0.0393258426966292,0.00283426966292135,0.00752941176470588,0.0159642857142857,0.0168125,0.0346666666666667,-2.05572501506252,2.83321334405622,-0.805196684368568,3.3322045101752,-0.619896718820353,3.46573590279973,0.375692949774494,3.73766961828337,0.134328674694858,0.501627257367884,0.51483832397757,1.43948932447846
"9","LD731_21","EG731_21","LD731_21","CL211_21","E018_M","delicata","CORT_23_5pg_Topical","23","low","21/02/2022","2021/22","1/01/2022",1,51,52,0.155,8.43,6.17,0.131,18,26,NA,NA,NA,NA,"LD731_21",NA,NA,NA,NA,"","MISSING",NA,0,0,0,0,"","Lizard missing 23 Mar 22","Lizard missing 23 Mar 22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,170,NA,NA,NA,NA,NA,NA,NA,0.00727777777777778,NA,NA,NA,-2.03255795578099,2.89037175789616,NA,NA,NA,NA,NA,NA,0.120445018437871,NA,NA,NA
"10","LD732_21","EG732_21","LD732_21","CL211_21","E018_M","delicata","C_23_Topical","23","control","20/02/2022","2021/22","1/01/2022",1,50,51,0.151,8.27,6.03,0.134,17,24,"3/06/2022",31,43.5,0.578,"LD732_21","10/08/2022",39,54,0.721,"DCL","ALIVE",NA,0,0,0,0,"","","",2020-06-01,"9:16","4",69,"F","N",45,72,1.888,23,"control",219,"",NA,"4",0.61,5,242.74,"",28,338,72809,"A",0.272,2.0508,0.139,16.7623,0.5109,0.1392,0.2725,"",103,171,467,0.0599571734475375,0.0037558886509636,0.135922330097087,0.00431067961165049,0.0384615384615385,0.0035989010989011,0.00788235294117647,0.0186451612903226,0.0184871794871795,0.0419555555555556,-2.00991547903123,2.83321334405622,-0.54818141030976,3.43398720448515,-0.327116141697188,3.66356164612965,0.635518067723309,3.80666248977032,0.14062533132118,0.50021743525649,0.413082004870515,1.53146630249628
