egg_id,Sample ID,clutch,enclosure,date_treated,egg_length,egg_width,egg_mass_mg,yolk_mass_mg,Plate,CV,raw_CORT(pg/ml),raw_CORT(ng/ml),yolk_concentration(mg/ul),yolk_concentration(mg/ml),mass_corrected_CORT(pg/mg),treatment,dilution,finalCORT(pg/mg),set,LogCORT,Comments
EG958_21,35,CL263_21,E027_F120,14/2/2022,8.67,5.87,169.742,40.388,2,0.3,822.036,0.822036,0.067313333,67.31333333,12.2120828,C_Topical,2,24.42416559,1,1.387819736,
EG945_21,36,CL261_21,E030_M,14/2/2022,5.15,5.15,132.762,31.281,2,0.7,805.847,0.805847,0.052135,52.135,15.45692913,CORT_5pg_Topical,2,30.91385825,1,1.490153211,
EG946_21,37,CL262_21,E025_M,14/2/2022,7.85,6.35,189.87,38.645,2,1.8,1660.437,1.660437,0.064408333,64.40833333,25.77984733,CORT_10pg_Topical,4,103.1193893,1,2.013340332,
EG948_21,38,CL262_21,E025_M,14/2/2022,7.56,6.06,164.192,13.413,2,5,1012.54,1.01254,0.022355,22.355,45.29367032,CORT_10pg_Topical,4,181.1746813,1,2.258097506,
EG952_21,39,CL262_21,E011_M E024_M,14/2/2022,8.48,6.13,169.532,53.669,2,1.9,1736.384,1.736384,0.089448333,89.44833333,19.41214481,CORT_5pg_Topical,2,38.82428963,1,1.589103518,
EG954_21,40,CL262_21,E011_M E024_M,14/2/2022,8.6,5.93,162.246,36.285,2,1.8,2646.039,2.646039,0.060475,60.475,43.75426209,C_Topical,2,87.50852418,1,1.94205036,
EG953_21,41,CL262_21,E011_M E024_M,14/2/2022,8.12,6.14,170.053,50.569,2,1.4,969.995,0.969995,0.084281667,84.28166667,11.50896794,CORT_10pg_Topical,4,46.03587178,1,1.663096372,
EG957_21,42,CL263_21,E027_F120,14/2/2022,8.66,6.35,193.665,52.181,2,0.5,2577.573,2.577573,0.086968333,86.96833333,29.63806366,CORT_10pg_Topical,4,118.5522547,1,2.073909818,
EG950_21,43,CL262_21,E025_M,14/2/2022,7.75,6.36,174.026,41.664,2,3.2,2092.542,2.092542,0.06944,69.44,30.13453341,C_Topical,2,60.26906682,1,1.780094467,
EG955_21,44,CL263_21,E027_F120,14/2/2022,8.27,6.46,187.334,55.231,2,2.5,1906.486,1.906486,0.092051667,92.05166667,20.71104271,CORT_5pg_Topical,2,41.42208542,1,1.61723196,
EG951_21,45,CL262_21,E011_M E024_M,14/2/2022,8.6,6.5,181.976,49.851,2,2.5,847.163,0.847163,0.083085,83.085,10.1963411,C_Topical,2,20.39268219,1,1.309474351,
EG956_21,46,CL263_21,E027_F120,14/2/2022,8.67,6.27,163.702,49.724,2,2.3,1064.201,1.064201,0.082873333,82.87333333,12.84129595,CORT_10pg_Topical,4,51.36518381,1,1.710668847,
EG947_21,47,CL262_21,E025_M,14/2/2022,8.23,6.37,192.531,63.987,2,2.8,1342.982,1.342982,0.106645,106.645,12.59301421,CORT_10pg_Topical,4,50.37205682,1,1.702189685,
EG949_21,48,CL262_21,E011_M E024_M,14/2/2022,7.44,5.89,167.77,43.034,2,5.5,1625.725,1.625725,0.071723333,71.72333333,22.66661245,CORT_5pg_Topical,2,45.33322489,1,1.656416615,
EG943_21,49,CL261_21,E030_M,14/2/2022,6.96,5.21,148.976,51.178,2,3.3,1433.536,1.433536,0.085296667,85.29666667,16.80647153,C_Topical,2,33.61294306,1,1.52650654,
