eggID,bd_liz_id,toeClip,sex,clutch,egg_encl_ID,species,trt,mortality,liz_status,season,date_egg_laid_.day.m.year..,date_egg_laid_.year.m.day.,hatch_date_.year.m.day.,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,bd_svl_orig_mm,bd_tail_orig_mm,notes
EG625_21,NA,NA,NA,CL185_21,E014_M,delicata,CORT_28_5pg,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.126,9.15,4.69,NA,NA,egg died 31/1/22
EG626_21,NA,NA,NA,CL186_21,E018_M,delicata,CORT_23_10pg,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.146,8.85,5.69,NA,NA,egg died 27/12/21
EG627_21,NA,NA,NA,CL186_21,E018_M,delicata,C_28,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.142,8.55,5.71,NA,NA,egg died 31/12/21
EG628_21,NA,NA,NA,CL186_21,E018_M,delicata,CORT_23_5pg,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.134,8.86,5.2,NA,NA,egg died 3/01/21
EG629_21,NA,NA,NA,CL186_21,E018_M,delicata,CORT_28_5pg,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.139,8.36,5.72,NA,NA,egg died 31/12/21
EG630_21,NA,NA,NA,CL187_21,E017_M,delicata,C_28,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.127,8.76,5.25,NA,NA,egg died 5/1/22
EG631_21,NA,NA,NA,CL187_21,E017_M,delicata,C_23,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.125,8.52,5.38,NA,NA,egg died 5/1/22
EG632_21,?,,,CL187_21,E017_M,delicata,CORT_23_10pg,1,ALIVE,2021/22,22/12/2021,21/12/2022,,,0.143,8.87,5.52,NA,NA,
EG633_21,NA,NA,NA,CL187_21,E017_M,delicata,CORT_23_5pg,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.139,8.68,5.45,NA,NA,egg died 31/12/21
EG634_21,NA,NA,NA,CL188_21,E029_F120,delicata,CORT_28_10pg,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.105,8.53,4.75,NA,NA,egg died 27/12/21
EG635_21,NA,NA,NA,CL188_21,E029_F120,delicata,C_28,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.099,8.57,5.09,NA,NA,egg died 27/12/21
EG636_21,NA,NA,NA,CL188_21,E029_F120,delicata,CORT_23_10pg,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.113,7.89,5.08,NA,NA,egg died 27/12/21
EG637_21,NA,NA,NA,CL188_21,E029_F120,delicata,CORT_23_5pg,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.109,8.4,4.91,NA,NA,egg died 27/12/21
EG638_21,NA,NA,NA,CL189_21,E013_M,delicata,CORT_28_10pg,0,DEAD,2021/22,22/12/2021,21/12/2022,NA,NA,0.125,8.17,5.48,NA,NA,eggd ied 27/12/21
EG639_21,NA,NA,NA,CL190_21,E020_F120,delicata,CORT_28_5pg,0,DEAD,2021/22,24/12/2021,21/12/2024,NA,NA,0.132,8.22,5.64,NA,NA,
EG640_21,LD640_21,,,CL190_21,E020_F120,delicata,C_28,1,ALIVE,2021/22,24/12/2021,21/12/2024,22/1/1931,,0.138,8.54,5.79,16,22,
EG641_21,LD641_21,,,CL190_21,E020_F120,delicata,CORT_28_10pg,0,DEAD,2021/22,24/12/2021,21/12/2024,22/1/1931,,0.129,8.84,5.54,17,22,died after hatching; 31/1/22
EG642_21,LD642_21,,,CL191_21,E019_F120,delicata,C_23,0,DEAD,2021/22,24/12/2021,21/12/2024,22/2/2011,,0.142,9.19,5.56,16,25,Euthanized 19/09/2022
EG643_21,LD643_21,,,CL191_21,E019_F120,delicata,CORT_23_10pg,0,DEAD,2021/22,24/12/2021,21/12/2024,22/2/2012,,0.13,8.61,5.47,14,25,died after hatching; 17/02/2022
EG644_21,LD644_21,,,CL191_21,E019_F120,delicata,CORT_23_5pg,1,ALIVE,2021/22,24/12/2021,21/12/2024,22/2/2014,,0.14,8.77,5.75,16,25,
EG645_21,LD645_21,,,CL192_21,E018_20,delicata,CORT_23_5pg,0,DEAD,2021/22,24/12/2021,21/12/2024,22/1/2010,,0.17,8.66,6.39,15,23,Euthanized 19/09/2022
EG646_21,NA,NA,NA,CL192_21,E018_20,NA,CORT_23_10pg,0,DEAD,2021/22,24/12/2021,21/12/2024,NA,NA,0.172,9.09,6.01,NA,NA,egg died 2/03/2022
EG647_21,NA,,,CL193_21,E001_F120,delicata,C_23,0,DEAD,2021/22,27/12/2021,21/12/2027,,,0.145,8.69,5.79,NA,NA,egg died 31/1/22
EG648_21,NA,,,CL193_21,E001_F120,delicata,CORT_23_10pg,0,DEAD,2021/22,27/12/2021,21/12/2027,,,0.102,7.39,5.3,NA,NA,egg died 3/01/21
EG649_21,NA,,,CL193_21,E001_F120,delicata,CORT_28_10pg,0,DEAD,2021/22,27/12/2021,21/12/2027,,,0.136,7.98,5.93,NA,NA,egg died 5/1/22
EG650_21,NA,,,CL193_21,E001_F120,delicata,CORT_28_5pg,0,DEAD,2021/22,27/12/2021,21/12/2027,,,0.098,6.99,5.4,NA,NA,egg died 5/1/22
EG651_21,LD651_21,,,CL193_21,E001_F120,delicata,C_28,1,ALIVE,2021/22,27/12/2021,21/12/2027,22/1/1931,,0.11,7.37,5.45,16,26,
EG652_21,LD652_21,,,CL194_21,E008_F120,delicata,C_23,1,ALIVE,2021/22,27/12/2021,21/12/2027,22/2/2013,,0.129,8.47,5.65,16,23,
EG653_21,NA,,,CL194_21,E008_F120,delicata,CORT_28_5pg,0,DEAD,2021/22,27/12/2021,21/12/2027,,,0.125,8.51,5.49,NA,NA,Died 31/12/21
EG654_21,LD654_21,,,CL194_21,E008_F120,delicata,C_28,1,ALIVE,2021/22,27/12/2021,21/12/2027,22/1/1931,,0.132,8.77,5.66,19,24,
EG655_21,NA,,,CL194_21,E008_F120,delicata,CORT_28_10pg,0,DEAD,2021/22,27/12/2021,21/12/2027,,,0.136,9.02,5.13,NA,NA,egg died 5/1/22
